model,layers,sample,runtime_s,qubits,damping,threads,seed
C plugin,4,5,0.08990868739783764,16,0.005,64,0
C plugin,4,6,0.0889158807694912,16,0.005,64,0
Rust plugin,4,0,0.0906132310628891,16,0.005,64,0
Rust plugin,4,1,0.0904585961252451,16,0.005,64,0
Rust plugin,4,2,0.0910985879600048,16,0.005,64,0
Rust plugin,4,3,0.09096542559564114,16,0.005,64,0
Rust plugin,4,4,0.08944845572113991,16,0.005,64,0
Rust plugin,4,5,0.09097118675708771,16,0.005,64,0
Rust plugin,4,6,0.08946751244366169,16,0.005,64,0
AOT Julia plugin,4,0,0.08717632293701172,16,0.005,64,0
AOT Julia plugin,4,1,0.08858721144497395,16,0.005,64,0
AOT Julia plugin,4,2,0.08868744969367981,16,0.005,64,0
AOT Julia plugin,4,3,0.08761370182037354,16,0.005,64,0
AOT Julia plugin,4,4,0.08647694811224937,16,0.005,64,0
AOT Julia plugin,4,5,0.08766361512243748,16,0.005,64,0
AOT Julia plugin,4,6,0.08940611593425274,16,0.005,64,0
native,5,0,0.6570921558886766,16,0.005,64,0
native,5,1,0.6599332671612501,16,0.005,64,0
native,5,2,0.6807389799505472,16,0.005,64,0
native,5,3,0.6867123823612928,16,0.005,64,0
native,5,4,0.6897259410470724,16,0.005,64,0
native,5,5,0.7114475332200527,16,0.005,64,0
native,5,6,0.7096751611679792,16,0.005,64,0
C plugin,5,0,0.7018429767340422,16,0.005,64,0
C plugin,5,1,0.6920392103493214,16,0.005,64,0
C plugin,5,2,0.6890142746269703,16,0.005,64,0
C plugin,5,3,0.6928428914397955,16,0.005,64,0
C plugin,5,4,0.6933558434247971,16,0.005,64,0
C plugin,5,5,0.7099668569862843,16,0.005,64,0
C plugin,5,6,0.6782699432224035,16,0.005,64,0
Rust plugin,5,0,0.6846302766352892,16,0.005,64,0
Rust plugin,5,1,0.7092063575983047,16,0.005,64,0
Rust plugin,5,2,0.876035476103425,16,0.005,64,0
Rust plugin,5,3,0.6858216188848019,16,0.005,64,0
Rust plugin,5,4,0.6729961112141609,16,0.005,64,0
Rust plugin,5,5,0.7055518254637718,16,0.005,64,0
Rust plugin,5,6,0.669935205951333,16,0.005,64,0
AOT Julia plugin,5,0,0.7027903888374567,16,0.005,64,0
AOT Julia plugin,5,1,0.7078726664185524,16,0.005,64,0
AOT Julia plugin,5,2,0.7150985449552536,16,0.005,64,0
AOT Julia plugin,5,3,0.6997375953942537,16,0.005,64,0
AOT Julia plugin,5,4,0.7180914543569088,16,0.005,64,0
AOT Julia plugin,5,5,0.7077188435941935,16,0.005,64,0
AOT Julia plugin,5,6,0.7222448829561472,16,0.005,64,0
native,6,0,3.1315906047821045,16,0.005,64,0
native,6,1,3.1211230847984552,16,0.005,64,0
native,6,2,3.1145962048321962,16,0.005,64,0
native,6,3,3.1115709263831377,16,0.005,64,0
native,6,4,3.147284861654043,16,0.005,64,0
